"company_id","created_at","easybill_customer_id","external_id","updated_at"
"5fb688e9-cde3-4f9b-a618-7a7753b5b0c3","2025-04-04T14:14:11.011Z","2312603108","40028","2025-04-04T14:14:11.011Z"
"69efca02-9855-4ef1-a864-2c3915019fc1","2025-04-04T14:14:12.271Z","2310029000","40023","2025-04-07T17:51:06.150Z"
"8278af43-273c-40cf-a602-b5f621942d5b","2025-04-07T17:51:06.312Z","2310028994","40021","2025-04-07T17:51:06.312Z"
"0c8d71ec-0d3b-4a86-bf68-083a4ef0e056","2025-04-04T14:14:11.131Z","2312603165","40047","2025-04-04T14:14:11.131Z"
"081f134b-ac8b-4e20-b19d-f99f379540ca","2025-04-04T14:14:13.431Z","2333390475","40081","2025-04-04T14:14:13.431Z"
"d52a318f-d848-4a7b-a918-341a219c4722","2025-04-04T14:14:11.993Z","2310028958","40010","2025-04-04T14:14:11.993Z"
"d06653c6-e1ed-4ebf-9207-6c2c8039e0c8","2025-04-04T14:14:12.433Z","2333390430","40067","2025-04-07T17:37:48.121Z"
"6a9d864f-ea1b-4e5b-8e8d-7dbe9341a4b1","2025-04-04T14:14:13.833Z","2333390379","40049","2025-04-04T14:14:13.833Z"
"176423ba-729c-4c9c-9679-ffe2850207e6","2025-04-04T14:14:12.331Z","2312603153","40043","2025-04-04T14:14:12.331Z"
"5182601d-b64b-4e1c-98ee-43801dcc71e0","2025-04-04T14:14:13.530Z","2333390463","40077","2025-04-04T14:14:13.530Z"
"354af6bb-2c90-4cc2-afcf-b4d9df21822f","2025-04-07T17:51:06.591Z","2312603165","40047","2025-04-07T17:51:06.591Z"
"8ccae1b5-564e-43ea-951f-d3bbf99694f3","2025-04-04T14:14:13.191Z","2333390487","40085","2025-04-04T14:14:13.191Z"
